"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC38A2",0,1.18195151196811,0.225,0.632,0,"0","SLC38A2"
"DBI",0,1.13400045242906,0.157,0.5,0,"0","DBI"
"TPI1",0,1.12069861433066,0.2,0.604,0,"0","TPI1"
"CCT5",0,1.11052209929065,0.1,0.35,0,"0","CCT5"
"HMGN2",0,1.07351041745575,0.185,0.615,0,"0","HMGN2"
"COX6C",0,1.06118990700777,0.165,0.592,0,"0","COX6C"
"TUBA1B",0,1.05454890554234,0.23,0.706,0,"0","TUBA1B"
"MRPL51",0,1.04475613922966,0.084,0.307,0,"0","MRPL51"
"POMP",0,1.02447830812762,0.149,0.545,0,"0","POMP"
"NDUFC2",0,1.0077879970515,0.089,0.331,0,"0","NDUFC2"
"P4HB",0,0.949780910451833,0.074,0.285,0,"0","P4HB"
"TUBA1C",0,0.944123860938052,0.087,0.329,0,"0","TUBA1C"
"NDUFS6",0,0.920894704877269,0.081,0.346,0,"0","NDUFS6"
"TXN",0,0.915203648193483,0.161,0.519,0,"0","TXN"
"ENO1",0,0.902789336577153,0.147,0.531,0,"0","ENO1"
"FTL",0,0.885117965508146,0.944,0.995,0,"0","FTL"
"SRP9",0,0.869170646669329,0.068,0.293,0,"0","SRP9"
"ATP5F1B",0,0.869112750833444,0.097,0.427,0,"0","ATP5F1B"
"SNRPE",0,0.859935745589257,0.068,0.289,0,"0","SNRPE"
"TFRC",0,0.858568126213409,0.087,0.341,0,"0","TFRC"
"CD63",0,0.855164887819336,0.187,0.52,0,"0","CD63"
"MGST3",0,0.854388363141727,0.076,0.323,0,"0","MGST3"
"ATP6V0B",0,0.847783974567734,0.095,0.398,0,"0","ATP6V0B"
"HSBP1",0,0.844917115649281,0.063,0.258,0,"0","HSBP1"
"CCT6A",0,0.836396170341959,0.081,0.365,0,"0","CCT6A"
"ATP5MC3",0,0.833746262330272,0.107,0.475,0,"0","ATP5MC3"
"NME2",0,0.828738823640323,0.184,0.669,0,"0","NME2"
"RANBP1",0,0.821127069938577,0.071,0.318,0,"0","RANBP1"
"TOMM6",0,0.811981867897133,0.108,0.51,0,"0","TOMM6"
"PDCD6",0,0.808565091588346,0.057,0.252,0,"0","PDCD6"
"PKM",0,0.806087091951129,0.094,0.384,0,"0","PKM"
"ATP5ME",0,0.80556536512764,0.105,0.48,0,"0","ATP5ME"
"ANXA5",0,0.80524165694927,0.099,0.38,0,"0","ANXA5"
"PGK1",0,0.79909755347055,0.122,0.524,0,"0","PGK1"
"YWHAG",0,0.786431877045322,0.056,0.252,0,"0","YWHAG"
"DEK",0,0.785606855984386,0.101,0.456,0,"0","DEK"
"SEC61G",0,0.774604527788635,0.09,0.42,0,"0","SEC61G"
"ATP5PF",0,0.774104653100381,0.091,0.442,0,"0","ATP5PF"
"GNAS",0,0.76340468005105,0.308,0.89,0,"0","GNAS"
"MXD1",0,0.761405844519249,0.069,0.279,0,"0","MXD1"
"RBX1",0,0.753426604488057,0.072,0.35,0,"0","RBX1"
"MTCH1",0,0.751249263947829,0.068,0.326,0,"0","MTCH1"
"ANAPC11",0,0.741163190124592,0.062,0.307,0,"0","ANAPC11"
"SRSF6",0,0.730113774910451,0.067,0.322,0,"0","SRSF6"
"H2AFY",0,0.729175998792368,0.064,0.284,0,"0","H2AFY"
"CEBPB",0,0.727042592942069,0.155,0.479,0,"0","CEBPB"
"YWHAE",0,0.726725620956735,0.087,0.446,0,"0","YWHAE"
"MICOS10",0,0.724885120078716,0.08,0.411,0,"0","MICOS10"
"NUCKS1",0,0.717027142306888,0.088,0.429,0,"0","NUCKS1"
"COX6A1",0,0.712070558133952,0.133,0.623,0,"0","COX6A1"
"KLF10",0,0.707238183810022,0.056,0.259,0,"0","KLF10"
"PDIA6",0,0.705951441711333,0.066,0.322,0,"0","PDIA6"
"PCBP2",0,0.703015065901522,0.108,0.543,0,"0","PCBP2"
"MARCKSL1",0,0.702699096255956,0.09,0.392,0,"0","MARCKSL1"
"MORF4L2",0,0.698223574885319,0.093,0.447,0,"0","MORF4L2"
"ILF3",0,0.697035736639777,0.059,0.304,0,"0","ILF3"
"NAMPT",0,0.693896745867518,0.169,0.561,0,"0","NAMPT"
"RAC1",0,0.691359743924034,0.099,0.467,0,"0","RAC1"
"HMGN3",0,0.687001168682079,0.053,0.25,0,"0","HMGN3"
"LAPTM4A",0,0.686978560399475,0.067,0.326,0,"0","LAPTM4A"
"HSP90B1",0,0.685143645897043,0.177,0.646,0,"0","HSP90B1"
"PRDX2",0,0.684999570955912,0.071,0.363,0,"0","PRDX2"
"CLTA",0,0.679934910755783,0.06,0.308,0,"0","CLTA"
"JPT1",0,0.676427572362984,0.104,0.5,0,"0","JPT1"
"SYNCRIP",0,0.673441311506039,0.056,0.288,0,"0","SYNCRIP"
"PABPC4",0,0.671381271078089,0.066,0.324,0,"0","PABPC4"
"CANX",0,0.671098755752384,0.063,0.327,0,"0","CANX"
"DDX39B",0,0.669231687933125,0.063,0.329,0,"0","DDX39B"
"UQCRQ",0,0.654456896157338,0.072,0.38,0,"0","UQCRQ"
"RHEB",0,0.654275226343013,0.065,0.352,0,"0","RHEB"
"ATP5MF",0,0.652125895319523,0.071,0.383,0,"0","ATP5MF"
"SF3B6",0,0.650905848696631,0.083,0.448,0,"0","SF3B6"
"CALR",0,0.650576344625227,0.152,0.663,0,"0","CALR"
"ILF2",0,0.650218711000415,0.062,0.336,0,"0","ILF2"
"NDUFAB1",0,0.648632435547948,0.05,0.256,0,"0","NDUFAB1"
"C1QBP",0,0.648179814095816,0.056,0.304,0,"0","C1QBP"
"ZFAND5",0,0.642109855707346,0.143,0.595,0,"0","ZFAND5"
"HNRNPH1",0,0.641983298185751,0.146,0.658,0,"0","HNRNPH1"
"IER5",0,0.641266292630274,0.275,0.754,0,"0","IER5"
"ATP5MPL",0,0.640579883267552,0.073,0.394,0,"0","ATP5MPL"
"TMEM123",0,0.639356347413317,0.071,0.371,0,"0","TMEM123"
"SNRNP70",0,0.638657245191126,0.059,0.314,0,"0","SNRNP70"
"GNG5",0,0.63644776464154,0.099,0.499,0,"0","GNG5"
"PRDX5",0,0.635405395952781,0.069,0.386,0,"0","PRDX5"
"HMGA1",0,0.634920825368863,0.053,0.277,0,"0","HMGA1"
"PPP1R14B",0,0.632025277646949,0.063,0.291,0,"0","PPP1R14B"
"ASAH1",0,0.631025952403404,0.061,0.254,0,"0","ASAH1"
"NONO",0,0.626081384836533,0.056,0.315,0,"0","NONO"
"CKS2",0,0.625195018887899,0.127,0.511,0,"0","CKS2"
"BRI3",0,0.621383395231465,0.091,0.373,0,"0","BRI3"
"POLR1D",0,0.610901050481996,0.074,0.432,0,"0","POLR1D"
"NORAD",0,0.607080383125754,0.051,0.272,0,"0","NORAD"
"SEM1",0,0.606975100485215,0.069,0.382,0,"0","SEM1"
"SUMO2",0,0.604944576756833,0.167,0.742,0,"0","SUMO2"
"ZFP36L1",0,0.603419036647923,0.189,0.672,0,"0","ZFP36L1"
"RAB1A",0,0.603172459983627,0.047,0.26,0,"0","RAB1A"
"ATP5MD",0,0.602071579451826,0.082,0.443,0,"0","ATP5MD"
"CDKN1A",0,0.600634714391837,0.09,0.435,0,"0","CDKN1A"
"UQCR10",0,0.596133825904962,0.081,0.434,0,"0","UQCR10"
"BSG",0,0.594544191664115,0.053,0.311,0,"0","BSG"
"ATF4",0,0.592717154778613,0.108,0.573,0,"0","ATF4"
"AP2S1",0,0.591859324539508,0.053,0.259,0,"0","AP2S1"
"CTNNB1",0,0.588598429828158,0.063,0.314,0,"0","CTNNB1"
"PPIA",0,0.587084651015869,0.246,0.854,0,"0","PPIA"
"FLNA",0,0.58573659592408,0.068,0.348,0,"0","FLNA"
"MRPL20",0,0.585475553888939,0.053,0.298,0,"0","MRPL20"
"KRT10",0,0.585350086825366,0.078,0.444,0,"0","KRT10"
"LDHB",0,0.584538639702024,0.089,0.475,0,"0","LDHB"
"CD46",0,0.580913867274005,0.05,0.277,0,"0","CD46"
"ATP6AP2",0,0.579886861493939,0.049,0.273,0,"0","ATP6AP2"
"HIF1A",0,0.575689423004652,0.085,0.414,0,"0","HIF1A"
"FKBP1A",0,0.574880071956703,0.052,0.281,0,"0","FKBP1A"
"ROMO1",0,0.574529096002447,0.063,0.362,0,"0","ROMO1"
"NDUFA4",0,0.573176578960802,0.139,0.677,0,"0","NDUFA4"
"LUC7L3",0,0.571781521861958,0.084,0.446,0,"0","LUC7L3"
"TMBIM6",0,0.570884187648054,0.139,0.672,0,"0","TMBIM6"
"VPS29",0,0.566078080264334,0.056,0.325,0,"0","VPS29"
"CTSH",0,0.563872667792144,0.055,0.27,0,"0","CTSH"
"COX7B",0,0.560218544584193,0.105,0.574,0,"0","COX7B"
"HMGN1",0,0.558310674233854,0.135,0.661,0,"0","HMGN1"
"DYNLT1",0,0.556863019059698,0.05,0.28,0,"0","DYNLT1"
"VMP1",0,0.555689334455136,0.142,0.584,0,"0","VMP1"
"UQCRH",0,0.554709249695803,0.14,0.671,0,"0","UQCRH"
"TPM4",0,0.551422097862287,0.077,0.404,0,"0","TPM4"
"PET100",0,0.549303232595881,0.058,0.346,0,"0","PET100"
"RTN4",0,0.54772608685124,0.076,0.43,0,"0","RTN4"
"SRSF2",0,0.547688469210293,0.182,0.758,0,"0","SRSF2"
"ERH",0,0.546724746099183,0.058,0.351,0,"0","ERH"
"ID3",0,0.546040401976812,0.065,0.263,0,"0","ID3"
"YBX1",0,0.545939710263707,0.223,0.819,0,"0","YBX1"
"ENY2",0,0.545821515948196,0.089,0.5,0,"0","ENY2"
"PRDX6",0,0.543951558002574,0.076,0.441,0,"0","PRDX6"
"UBL5",0,0.54027681684066,0.118,0.627,0,"0","UBL5"
"RAB5IF",0,0.5395075149961,0.063,0.375,0,"0","RAB5IF"
"MAFF",0,0.538481630066399,0.052,0.268,0,"0","MAFF"
"METTL26",0,0.536442068618535,0.044,0.262,0,"0","METTL26"
"PPDPF",0,0.533237724395098,0.144,0.671,0,"0","PPDPF"
"ATP5MC1",0,0.5328709940673,0.045,0.265,0,"0","ATP5MC1"
"BANF1",0,0.532153332521512,0.052,0.317,0,"0","BANF1"
"PCBP1",0,0.530949292213564,0.09,0.519,0,"0","PCBP1"
"TTC3",0,0.530947903833663,0.051,0.303,0,"0","TTC3"
"PRDX1",0,0.530170276754537,0.179,0.694,0,"0","PRDX1"
"PTBP1",0,0.529049820131775,0.048,0.284,0,"0","PTBP1"
"SSR3",0,0.528185991640806,0.053,0.317,0,"0","SSR3"
"NDUFB9",0,0.525234544865895,0.048,0.286,0,"0","NDUFB9"
"HMGB1",0,0.523768443104835,0.288,0.904,0,"0","HMGB1"
"SUB1",0,0.523669170840968,0.198,0.808,0,"0","SUB1"
"PLCG2",0,0.522397387675097,0.111,0.365,0,"0","PLCG2"
"PSMA7",0,0.519571597254174,0.135,0.667,0,"0","PSMA7"
"SNHG1",0,0.514840051818401,0.067,0.375,0,"0","SNHG1"
"SNRPD1",0,0.513850984708577,0.049,0.293,0,"0","SNRPD1"
"BHLHE40",0,0.513579974165869,0.069,0.346,0,"0","BHLHE40"
"INSIG1",0,0.512035167271197,0.056,0.269,0,"0","INSIG1"
"DAD1",0,0.51156153168777,0.067,0.414,0,"0","DAD1"
"CTSC",0,0.509437882056776,0.075,0.347,0,"0","CTSC"
"CAPG",0,0.505937913256507,0.064,0.308,0,"0","CAPG"
"TMEM14B",0,0.504584660770393,0.045,0.285,0,"0","TMEM14B"
"CYTH1",0,0.497085779093503,0.046,0.278,0,"0","CYTH1"
"NDUFB7",0,0.495472702190668,0.051,0.322,0,"0","NDUFB7"
"AZIN1",0,0.48835178450228,0.053,0.327,0,"0","AZIN1"
"TOMM5",0,0.487965684747032,0.056,0.347,0,"0","TOMM5"
"COX6B1",0,0.48738788348555,0.102,0.589,0,"0","COX6B1"
"SNX3",0,0.484285684748789,0.076,0.449,0,"0","SNX3"
"S100A10",0,0.482342788281261,0.251,0.732,0,"0","S100A10"
"U2SURP",0,0.480325808572297,0.06,0.359,0,"0","U2SURP"
"ATP6V0D1",0,0.4801642806793,0.043,0.251,0,"0","ATP6V0D1"
"PEBP1",0,0.47763718145781,0.07,0.425,0,"0","PEBP1"
"TYMP",0,0.469717742918945,0.086,0.376,0,"0","TYMP"
"B4GALT1",0,0.466382191556009,0.044,0.265,0,"0","B4GALT1"
"ELOC",0,0.465916585495362,0.064,0.405,0,"0","ELOC"
"EIF4G2",0,0.465215278217071,0.127,0.667,0,"0","EIF4G2"
"HNRNPM",0,0.465069512451802,0.07,0.446,0,"0","HNRNPM"
"PSMB3",0,0.464242726631049,0.059,0.385,0,"0","PSMB3"
"CCT8",0,0.462571705420309,0.05,0.326,0,"0","CCT8"
"SRSF9",0,0.462400885569328,0.061,0.415,0,"0","SRSF9"
"LAMP1",0,0.457271784896145,0.046,0.273,0,"0","LAMP1"
"PHB2",0,0.456538324381777,0.043,0.294,0,"0","PHB2"
"ARPC5",0,0.453552390482492,0.063,0.382,0,"0","ARPC5"
"NOP56",0,0.453247234765439,0.056,0.35,0,"0","NOP56"
"AURKAIP1",0,0.452719657431794,0.052,0.352,0,"0","AURKAIP1"
"PSMB6",0,0.451313996304842,0.046,0.31,0,"0","PSMB6"
"EIF5A",0,0.451292991661453,0.069,0.432,0,"0","EIF5A"
"COX5B",0,0.450888279945965,0.099,0.588,0,"0","COX5B"
"IVNS1ABP",0,0.448899392845965,0.069,0.391,0,"0","IVNS1ABP"
"MRPS21",0,0.443594620908005,0.048,0.329,0,"0","MRPS21"
"PSMA2",0,0.442726230733184,0.061,0.406,0,"0","PSMA2"
"COX5A",0,0.442592522781811,0.054,0.355,0,"0","COX5A"
"LAMTOR5",0,0.441540868319032,0.051,0.355,0,"0","LAMTOR5"
"GTF2A2",0,0.440882312308384,0.038,0.254,0,"0","GTF2A2"
"PER1",0,0.439400250600129,0.047,0.283,0,"0","PER1"
"ENSA",0,0.436513190850506,0.061,0.396,0,"0","ENSA"
"EWSR1",0,0.435802031444753,0.048,0.317,0,"0","EWSR1"
"GNB1",0,0.433673874907686,0.047,0.322,0,"0","GNB1"
"CLK1",0,0.433374889924452,0.13,0.652,0,"0","CLK1"
"MARCKS",0,0.431826456139009,0.077,0.292,0,"0","MARCKS"
"CHCHD2",0,0.431478085742827,0.21,0.843,0,"0","CHCHD2"
"RAB7A",0,0.43142742500484,0.048,0.301,0,"0","RAB7A"
"NDUFB4",0,0.429728737903016,0.06,0.405,0,"0","NDUFB4"
"HNRNPR",0,0.428859430472154,0.05,0.338,0,"0","HNRNPR"
"SLC3A2",0,0.427666572087121,0.081,0.493,0,"0","SLC3A2"
"YWHAH",0,0.426995868634493,0.051,0.306,0,"0","YWHAH"
"HNRNPD",0,0.424096770509593,0.06,0.402,0,"0","HNRNPD"
"RNPS1",0,0.423005574707401,0.045,0.31,0,"0","RNPS1"
"ATP5F1C",0,0.422004966971862,0.049,0.331,0,"0","ATP5F1C"
"TCP1",0,0.42068507745939,0.106,0.599,0,"0","TCP1"
"CSNK2B",0,0.419555169111328,0.042,0.297,0,"0","CSNK2B"
"GNA13",0,0.416812607970738,0.045,0.288,0,"0","GNA13"
"PFDN2",0,0.416039020725821,0.061,0.418,0,"0","PFDN2"
"RAD21",0,0.415892996602176,0.053,0.355,0,"0","RAD21"
"MED10",0,0.415523164822173,0.045,0.306,0,"0","MED10"
"ZC3H12A",0,0.415424609452219,0.044,0.269,0,"0","ZC3H12A"
"GPX4",0,0.413986587495868,0.136,0.673,0,"0","GPX4"
"ZNF706",0,0.41374876817476,0.071,0.463,0,"0","ZNF706"
"FAM162A",0,0.413510274308237,0.04,0.264,0,"0","FAM162A"
"TRAPPC5",0,0.412263017176528,0.048,0.33,0,"0","TRAPPC5"
"SLC25A5",0,0.411142660018942,0.103,0.592,0,"0","SLC25A5"
"ITGB1",0,0.410531564443636,0.063,0.374,0,"0","ITGB1"
"NEDD8",0,0.410409213790541,0.062,0.429,0,"0","NEDD8"
"SSBP1",0,0.409908516140888,0.055,0.376,0,"0","SSBP1"
"PSMA4",0,0.406437189949765,0.044,0.3,0,"0","PSMA4"
"POLR2A",0,0.404749227802225,0.051,0.324,0,"0","POLR2A"
"JTB",0,0.402119785518022,0.063,0.446,0,"0","JTB"
"HNRNPA3",0,0.400726631006893,0.119,0.672,0,"0","HNRNPA3"
"PDIA3",0,0.400498718032768,0.077,0.49,0,"0","PDIA3"
"OSTC",0,0.399846020347231,0.037,0.259,0,"0","OSTC"
"NDUFB10",0,0.398540399604898,0.048,0.348,0,"0","NDUFB10"
"DYNLL1",0,0.395746010804686,0.217,0.808,0,"0","DYNLL1"
"GPCPD1",0,0.394715427981542,0.055,0.319,0,"0","GPCPD1"
"FBL",0,0.393249879536209,0.04,0.276,0,"0","FBL"
"EIF2S2",0,0.390817824939915,0.052,0.35,0,"0","EIF2S2"
"DDIT3",0,0.390169943635286,0.072,0.409,0,"0","DDIT3"
"TMEM59",0,0.389515661793507,0.075,0.505,0,"0","TMEM59"
"TUBA1A",0,0.385067621772083,0.165,0.677,0,"0","TUBA1A"
"FOSL2",0,0.384077291299974,0.064,0.356,0,"0","FOSL2"
"FKBP4",0,0.38241143503451,0.086,0.467,0,"0","FKBP4"
"SSB",0,0.381005979146289,0.056,0.383,0,"0","SSB"
"YWHAQ",0,0.380168848905587,0.066,0.437,0,"0","YWHAQ"
"IRF2BP2",0,0.377724583036878,0.062,0.405,0,"0","IRF2BP2"
"COPE",0,0.375394422676199,0.062,0.439,0,"0","COPE"
"KRTCAP2",0,0.370965802559915,0.069,0.474,0,"0","KRTCAP2"
"BASP1",0,0.365427491684648,0.08,0.324,0,"0","BASP1"
"TKT",0,0.364654092282856,0.04,0.268,0,"0","TKT"
"NR4A3",0,0.363677146120658,0.068,0.324,0,"0","NR4A3"
"CD81",0,0.363483558948229,0.09,0.549,0,"0","CD81"
"NDUFA13",0,0.362503028555638,0.105,0.64,0,"0","NDUFA13"
"C6orf62",0,0.361441308012701,0.04,0.284,0,"0","C6orf62"
"PSMA6",0,0.3605119290932,0.054,0.381,0,"0","PSMA6"
"PPA1",0,0.359386666346173,0.056,0.385,0,"0","PPA1"
"SRI",0,0.3580217938847,0.04,0.292,0,"0","SRI"
"UPP1",0,0.357398714498562,0.056,0.3,0,"0","UPP1"
"CDC37",0,0.357072656889237,0.06,0.428,0,"0","CDC37"
"RBM17",0,0.356918621353752,0.035,0.26,0,"0","RBM17"
"SELENOW",0,0.356664428235341,0.074,0.49,0,"0","SELENOW"
"NDUFB1",0,0.355777051819147,0.042,0.311,0,"0","NDUFB1"
"TMEM258",0,0.354332902476981,0.057,0.412,0,"0","TMEM258"
"RBIS",0,0.353674478872783,0.046,0.352,0,"0","RBIS"
"XRCC5",0,0.349804138803973,0.049,0.357,0,"0","XRCC5"
"WTAP",0,0.348422828175678,0.071,0.487,0,"0","WTAP"
"PSMC6",0,0.34825878816562,0.034,0.25,0,"0","PSMC6"
"ATP1A1",0,0.34727763661965,0.057,0.391,0,"0","ATP1A1"
"TRAM1",0,0.345148302180877,0.039,0.296,0,"0","TRAM1"
"SDCBP",0,0.345136639798797,0.097,0.521,0,"0","SDCBP"
"LSM5",0,0.34444396560448,0.034,0.25,0,"0","LSM5"
"NDUFA12",0,0.343707219014792,0.036,0.276,0,"0","NDUFA12"
"HNRNPDL",0,0.343380145235616,0.142,0.749,0,"0","HNRNPDL"
"ATP6V1F",0,0.343241665859947,0.064,0.408,0,"0","ATP6V1F"
"PSMB4",0,0.342189333276002,0.043,0.333,0,"0","PSMB4"
"CCT2",0,0.340248175211954,0.052,0.375,0,"0","CCT2"
"LY6E",0,0.339592593460721,0.064,0.394,0,"0","LY6E"
"SNHG29",0,0.337582615613629,0.168,0.781,0,"0","SNHG29"
"SNRPF",0,0.336508279392582,0.05,0.371,0,"0","SNRPF"
"CBX3",0,0.3337962999277,0.056,0.402,0,"0","CBX3"
"PRPF40A",0,0.333688633319235,0.046,0.337,0,"0","PRPF40A"
"RALY",0,0.33267128451788,0.033,0.257,0,"0","RALY"
"TGIF1",0,0.332286089373895,0.044,0.291,0,"0","TGIF1"
"DUT",0,0.331774826357376,0.035,0.254,0,"0","DUT"
"ATP5F1A",0,0.331331804317921,0.035,0.274,0,"0","ATP5F1A"
"SELENOF",0,0.329532907024916,0.041,0.326,0,"0","SELENOF"
"CTSS",0,0.329112109651294,0.074,0.38,0,"0","CTSS"
"GTF3A",0,0.328945584297103,0.056,0.421,0,"0","GTF3A"
"ELOB",0,0.32802945668095,0.088,0.555,0,"0","ELOB"
"BRD2",0,0.327921211778503,0.108,0.6,0,"0","BRD2"
"GTF3C6",0,0.327074515530853,0.033,0.251,0,"0","GTF3C6"
"TMED10",0,0.325431654713023,0.037,0.282,0,"0","TMED10"
"FTH1",0,0.324744039420383,0.885,0.995,0,"0","FTH1"
"PHLDA1",0,0.323878103402687,0.072,0.35,0,"0","PHLDA1"
"ATP5PD",0,0.323492569952148,0.049,0.36,0,"0","ATP5PD"
"BAG1",0,0.323337075542284,0.033,0.259,0,"0","BAG1"
"MDH2",0,0.322894185727454,0.033,0.252,0,"0","MDH2"
"MYDGF",0,0.32169488246524,0.033,0.259,0,"0","MYDGF"
"SLC20A1",0,0.321082096335645,0.047,0.311,0,"0","SLC20A1"
"DCXR",0,0.320153079495139,0.034,0.254,0,"0","DCXR"
"SNRPG",0,0.319825618076762,0.069,0.502,0,"0","SNRPG"
"HNRNPF",0,0.316417926862602,0.054,0.406,0,"0","HNRNPF"
"PRMT1",0,0.31614796749972,0.032,0.252,0,"0","PRMT1"
"SSU72",0,0.315052205109163,0.038,0.301,0,"0","SSU72"
"KHDRBS1",0,0.313950159029148,0.047,0.355,0,"0","KHDRBS1"
"RPS17",0,0.313047345610951,0.223,0.853,0,"0","RPS17"
"H2AFV",0,0.311300166327413,0.073,0.497,0,"0","H2AFV"
"LMNA",0,0.308921897901917,0.157,0.558,0,"0","LMNA"
"NDUFS5",0,0.30847612657644,0.11,0.649,0,"0","NDUFS5"
"NFKBIZ",0,0.308033514827174,0.069,0.422,0,"0","NFKBIZ"
"VDAC1",0,0.306092019612557,0.044,0.328,0,"0","VDAC1"
"BRD4",0,0.305848777302507,0.037,0.29,0,"0","BRD4"
"MRPL57",0,0.30498203543193,0.039,0.294,0,"0","MRPL57"
"RNH1",0,0.303453376865799,0.034,0.262,0,"0","RNH1"
"LAMTOR1",0,0.303189519216365,0.033,0.267,0,"0","LAMTOR1"
"UQCRFS1",0,0.302595554058491,0.036,0.285,0,"0","UQCRFS1"
"MAP3K8",0,0.30111462908843,0.046,0.298,0,"0","MAP3K8"
"SNRPB",0,0.300013070869043,0.076,0.545,0,"0","SNRPB"
"TMED9",0,0.299881117338408,0.034,0.27,0,"0","TMED9"
"NAA50",0,0.296660273991203,0.035,0.26,0,"0","NAA50"
"PRPF4B",0,0.296132691907828,0.065,0.428,0,"0","PRPF4B"
"STRAP",0,0.295113505281362,0.046,0.358,0,"0","STRAP"
"POLR2J",0,0.29510811018929,0.034,0.275,0,"0","POLR2J"
"PRKAR1A",0,0.292839552195842,0.033,0.262,0,"0","PRKAR1A"
"HLA-DPB1",0,0.291658374151777,0.196,0.58,0,"0","HLA-DPB1"
"PSMC5",0,0.290908476440908,0.032,0.254,0,"0","PSMC5"
"ARHGDIA",0,0.286190430251387,0.043,0.339,0,"0","ARHGDIA"
"HLA-DMA",0,0.285057798646917,0.056,0.331,0,"0","HLA-DMA"
"HEXIM1",0,0.284774108047373,0.047,0.319,0,"0","HEXIM1"
"H2AFZ",0,0.284036743757308,0.206,0.778,0,"0","H2AFZ"
"PSIP1",0,0.283782296282804,0.036,0.273,0,"0","PSIP1"
"XRN2",0,0.28359387839341,0.035,0.262,0,"0","XRN2"
"EIF4A1",0,0.283251513370982,0.24,0.876,0,"0","EIF4A1"
"MAT2A",0,0.283078459683171,0.049,0.358,0,"0","MAT2A"
"OSER1",0,0.283075898458063,0.037,0.286,0,"0","OSER1"
"RNF7",0,0.282771662475491,0.05,0.391,0,"0","RNF7"
"PRNP",0,0.282765545114996,0.04,0.291,0,"0","PRNP"
"PA2G4",0,0.281189022648401,0.041,0.333,0,"0","PA2G4"
"SELENOH",0,0.28050105131994,0.065,0.482,0,"0","SELENOH"
"SRSF11",0,0.280496092004481,0.074,0.508,0,"0","SRSF11"
"PSMA1",0,0.2800229705287,0.047,0.366,0,"0","PSMA1"
"PSMB1",0,0.279086328364411,0.064,0.492,0,"0","PSMB1"
"TBCA",0,0.278759641328191,0.056,0.42,0,"0","TBCA"
"ITM2B",0,0.278312051763864,0.161,0.752,0,"0","ITM2B"
"MYH9",0,0.277489721942445,0.047,0.346,0,"0","MYH9"
"TMEM230",0,0.27258301952483,0.032,0.263,0,"0","TMEM230"
"VDAC2",0,0.272235812229268,0.051,0.421,0,"0","VDAC2"
"DYNLRB1",0,0.268398111160049,0.041,0.331,0,"0","DYNLRB1"
"PPP1CB",0,0.268252587982901,0.078,0.507,0,"0","PPP1CB"
"NDUFB2",0,0.268000936845058,0.067,0.493,0,"0","NDUFB2"
"VPS28",0,0.264747264889915,0.051,0.418,0,"0","VPS28"
"EIF4A3",0,0.263131435504941,0.113,0.576,0,"0","EIF4A3"
"GUK1",0,0.262780195916511,0.095,0.624,0,"0","GUK1"
"USP36",0,0.262147701470334,0.038,0.275,0,"0","USP36"
"WDR83OS",0,0.26194248807376,0.051,0.407,0,"0","WDR83OS"
"FUBP1",0,0.260307369931815,0.032,0.267,0,"0","FUBP1"
"TRA2B",0,0.260194273236146,0.139,0.722,0,"0","TRA2B"
"MRPS24",0,0.259724936759514,0.033,0.272,0,"0","MRPS24"
"ATP5PO",0,0.259607225956477,0.053,0.43,0,"0","ATP5PO"
"PSMA3",0,0.258266563426747,0.034,0.284,0,"0","PSMA3"
"ZNHIT1",0,0.257364081514416,0.032,0.264,0,"0","ZNHIT1"
"BIRC2",0,0.256769723183058,0.044,0.334,0,"0","BIRC2"
"SLBP",0,0.256422332225836,0.04,0.294,0,"0","SLBP"
"TSPO",0,0.256172319731777,0.067,0.446,0,"0","TSPO"
"CALM3",0,0.253911832282118,0.043,0.332,0,"0","CALM3"
"COX8A",0,0.252035990438357,0.08,0.558,0,"0","COX8A"
"NIPBL",0,0.251953927704431,0.036,0.288,0,"0","NIPBL"
"SAP18",0,0.251185795270487,0.136,0.727,0,"0","SAP18"
"C1orf43",0,0.25084976720992,0.029,0.259,0,"0","C1orf43"
"LSM3",0,0.250451315194259,0.031,0.259,0,"0","LSM3"
"HLA-DPA1",4.09617845068094e-306,0.371758521524587,0.22,0.586,1.21050265574523e-301,"0","HLA-DPA1"
"CTSZ",2.19410927566214e-304,0.971294955233937,0.121,0.371,6.48403173143674e-300,"0","CTSZ"
"NR4A1",1.38892727413954e-302,0.949436141024788,0.23,0.623,4.10455788053717e-298,"0","NR4A1"
"MYL6",4.79683195179381e-302,0.593213311596246,0.338,0.916,1.41755977839411e-297,"0","MYL6"
"HSPA1A",1.03167521582958e-297,0.425757519765671,0.942,0.988,3.04880659781958e-293,"0","HSPA1A"
"CSTB",5.02051114470273e-293,0.864390256415722,0.2,0.536,1.48366145348255e-288,"0","CSTB"
"BAG3",1.3217429670483e-292,1.02112413486607,0.136,0.398,3.90601481622114e-288,"0","BAG3"
"PABPC1",8.72665124023746e-285,0.583369152149382,0.342,0.916,2.57889997451497e-280,"0","PABPC1"
"IFI6",5.39151471138805e-265,0.693096394504339,0.077,0.26,1.5933004275094e-260,"0","IFI6"
"TUBB",2.45367926758865e-261,1.13649601235246,0.09,0.287,7.25111297157799e-257,"0","TUBB"
"ANXA2",8.59407387267379e-261,1.18674605990003,0.144,0.401,2.53972071085256e-256,"0","ANXA2"
