"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PARVB1",5.71614664387585e-40,0.581471041940216,0.29,0.027,1.68923565619819e-35,"7","PARVB"
"MAP2K32",9.8701876793662e-40,0.811047922529746,0.522,0.083,2.9168378630063e-35,"7","MAP2K3"
"CD633",5.737338830191e-39,1.71237721267101,0.971,0.289,1.69549837109804e-34,"7","CD63"
"ARFGAP32",6.40788534544833e-39,0.660625777565721,0.493,0.075,1.89365827728689e-34,"7","ARFGAP3"
"RAB34",8.70531813476107e-39,0.305483079717874,0.304,0.03,2.57259561518459e-34,"7","RAB34"
"CD442",2.22887339797321e-38,1.51756243897892,0.942,0.285,6.58676666569043e-34,"7","CD44"
"SLC44A1",3.24767281511746e-38,0.573110926087453,0.29,0.028,9.59752270323511e-34,"7","SLC44A1"
"ELL21",3.4284856348633e-38,0.936309582428014,0.768,0.17,1.0131860748148e-33,"7","ELL2"
"EMP33",9.13745231317685e-38,1.15001516473376,0.841,0.21,2.70029990759002e-33,"7","EMP3"
"DRAP11",1.03875793968364e-37,0.78840614309759,0.739,0.163,3.06973746335309e-33,"7","DRAP1"
"OSBPL81",1.70420304207311e-37,0.764936703162562,0.594,0.108,5.03626082993445e-33,"7","OSBPL8"
"METTL15",2.77929291265915e-37,0.61256773300901,0.261,0.024,8.21336641549033e-33,"7","METTL15"
"SYAP13",3.62876512165336e-37,1.07185528859771,0.667,0.138,1.072372668751e-32,"7","SYAP1"
"ITM2C2",4.39342824463078e-37,0.633251379489272,0.406,0.054,1.29834591485329e-32,"7","ITM2C"
"BLVRA",7.59912602387856e-37,0.376216263039583,0.29,0.029,2.24569372257659e-32,"7","BLVRA"
"PMEPA12",7.68200083119593e-37,0.767705837916926,0.493,0.078,2.27018488563502e-32,"7","PMEPA1"
"IDS1",8.38062525859676e-37,1.16105700452973,0.783,0.192,2.47664237642052e-32,"7","IDS"
"PTPN72",8.99944204364208e-37,0.794071779487002,0.493,0.077,2.65951511273711e-32,"7","PTPN7"
"ABCA11",1.04415433321773e-36,0.584616686333338,0.348,0.041,3.08568488552503e-32,"7","ABCA1"
"SERPINB61",1.70359296291405e-36,0.595407174029902,0.42,0.059,5.0344579240036e-32,"7","SERPINB6"
"LACTB1",1.97685413218094e-36,0.605959053796771,0.362,0.044,5.84199933142111e-32,"7","LACTB"
"TNFRSF9",2.07197589248855e-36,0.795184196228709,0.348,0.041,6.12310315748218e-32,"7","TNFRSF9"
"AC100810.11",2.5372141016709e-36,0.455161467321612,0.304,0.032,7.49797511325785e-32,"7","AC100810.1"
"NFKBIZ2",2.7845573748702e-36,0.900536649389667,0.754,0.177,8.22892395421642e-32,"7","NFKBIZ"
"TYROBP3",2.86442945444636e-36,0.510569168194966,0.812,0.168,8.46496192377989e-32,"7","TYROBP"
"FXYD52",3.92764198270395e-36,1.19629524660694,0.812,0.216,1.16069675872867e-31,"7","FXYD5"
"RNF145",4.36683930206735e-36,0.672236984358692,0.478,0.075,1.29048835054694e-31,"7","RNF145"
"LMO4",5.13742610133147e-36,0.510688123426461,0.551,0.095,1.51821216146548e-31,"7","LMO4"
"AGO3",9.97254153002354e-36,0.668908047497196,0.362,0.046,2.94708547295256e-31,"7","AGO3"
"RIN3",1.33594379450323e-35,0.700135117596337,0.275,0.028,3.94798110151595e-31,"7","RIN3"
"CCDC144A1",1.8267565080494e-35,0.533727647795043,0.29,0.03,5.39843083258757e-31,"7","CCDC144A"
"BST23",2.18546582020304e-35,0.735041433357865,0.754,0.173,6.45848859186404e-31,"7","BST2"
"AKAP132",5.17266247353541e-35,1.16046685970047,0.783,0.206,1.52862521417918e-30,"7","AKAP13"
"EFHD21",5.4944102407315e-35,0.889440280559921,0.667,0.143,1.62370811434097e-30,"7","EFHD2"
"ZBTB201",5.63638468370245e-35,0.680320816400555,0.464,0.072,1.66566440172775e-30,"7","ZBTB20"
"SELENOK1",9.20142541625683e-35,1.71661516334914,0.957,0.315,2.71920523901222e-30,"7","SELENOK"
"SYTL31",1.0439801773128e-34,0.927112877379111,0.449,0.069,3.08517021999479e-30,"7","SYTL3"
"ZNRF1",1.71265923978675e-34,0.610562576654644,0.348,0.043,5.06125058541779e-30,"7","ZNRF1"
"GLUL2",5.23566040302811e-34,1.1606847545244,0.87,0.224,1.54724236230287e-29,"7","GLUL"
"SH3KBP11",8.1776711252827e-34,0.774586266314628,0.507,0.088,2.41666537094354e-29,"7","SH3KBP1"
"SIL11",9.86749822002787e-34,0.477722590472997,0.275,0.029,2.91604307398263e-29,"7","SIL1"
"METRNL3",1.0480184272605e-33,0.811681714850381,0.652,0.136,3.09710405624023e-29,"7","METRNL"
"TNFSF10",1.63947601362668e-33,0.605532441056506,0.391,0.055,4.84497951546957e-29,"7","TNFSF10"
"NFKB12",1.75620336670744e-33,0.776759420856672,0.71,0.165,5.18993218929381e-29,"7","NFKB1"
"PAG1",1.85306735488627e-33,1.01370605229729,0.435,0.069,5.47618464715992e-29,"7","PAG1"
"DENND4A2",2.81161852839802e-33,0.765458924171871,0.522,0.095,8.30889507512183e-29,"7","DENND4A"
"PHF201",5.48439644056834e-33,0.847807863051346,0.594,0.124,1.62074883611676e-28,"7","PHF20"
"TMEM176A1",1.0481474428362e-32,0.306096424424854,0.29,0.032,3.09748532306954e-28,"7","TMEM176A"
"KIDINS220",1.1992695229275e-32,0.533000669418777,0.348,0.045,3.54408129415536e-28,"7","KIDINS220"
"CANX2",1.2631739970247e-32,0.259557661482333,0.667,0.143,3.73293179600739e-28,"7","CANX"
"CD812",1.965788674805e-32,0.724411202757584,0.841,0.231,5.80929869178375e-28,"7","CD81"
"PDIA31",3.8989293852693e-32,0.631783929858533,0.783,0.204,1.15221161193478e-27,"7","PDIA3"
"LAPTM52",5.01408368290919e-32,1.04602524445283,0.913,0.281,1.48176200997332e-27,"7","LAPTM5"
"TSC22D1",6.75254099154481e-32,0.539515009520524,0.609,0.119,1.99551091382132e-27,"7","TSC22D1"
"ZNF787",1.38358049645798e-31,0.46608447549056,0.275,0.03,4.08875708313264e-27,"7","ZNF787"
"ARID4B1",1.74367477363866e-31,0.709097923227197,0.754,0.188,5.15290769105696e-27,"7","ARID4B"
"RNF1302",2.39912307838956e-31,0.374365233978715,0.348,0.046,7.08988852125683e-27,"7","RNF130"
"SAMSN12",3.57404176660654e-31,1.16700625343127,0.812,0.222,1.05620082286756e-26,"7","SAMSN1"
"GRASP2",3.58332204629163e-31,0.840553108195733,0.609,0.129,1.0589433311201e-26,"7","GRASP"
"HOOK3",3.9261627366509e-31,0.661970391117367,0.391,0.059,1.16025961193507e-26,"7","HOOK3"
"SDCBP2",5.2113716547994e-31,0.844515357221812,0.826,0.227,1.54006455142632e-26,"7","SDCBP"
"CKLF2",6.31811135992645e-31,0.585681683138469,0.652,0.148,1.86712826908547e-26,"7","CKLF"
"RAB5A",6.60981140068959e-31,0.686686159235042,0.435,0.072,1.95333146513179e-26,"7","RAB5A"
"VAPA1",8.63003035938565e-31,0.719798788958353,0.681,0.168,2.55034657180565e-26,"7","VAPA"
"SYNJ2",9.41469483565789e-31,0.673412360820643,0.275,0.031,2.78223061783362e-26,"7","SYNJ2"
"GRK2",9.51965637570146e-31,0.599654892479824,0.449,0.076,2.81324885214729e-26,"7","GRK2"
"ICAM11",1.08587628033327e-30,0.569494355352745,0.507,0.091,3.20898158364088e-26,"7","ICAM1"
"CYTH4",1.1047275809843e-30,0.56629879278272,0.261,0.028,3.26469094732481e-26,"7","CYTH4"
"NCOA41",1.2269903420529e-30,0.611884158793442,0.348,0.049,3.62600185883474e-26,"7","NCOA4"
"TMBIM1",1.36326675941517e-30,0.476644425509155,0.29,0.034,4.0287259274237e-26,"7","TMBIM1"
"VIM2",1.63236686317771e-30,1.89453463819987,0.986,0.525,4.82397055406276e-26,"7","VIM"
"CDC42EP31",1.73373661508994e-30,0.656352359340914,0.565,0.116,5.12353844491378e-26,"7","CDC42EP3"
"NFE2L22",1.89483791502461e-30,0.676223386989141,0.71,0.175,5.59962500648073e-26,"7","NFE2L2"
"PRNP2",2.89126582757904e-30,0.773343334133259,0.565,0.117,8.54426877366157e-26,"7","PRNP"
"HDLBP1",3.67992439250904e-30,0.275178937535444,0.449,0.075,1.08749125647427e-25,"7","HDLBP"
"FOSL23",5.06412504339403e-30,0.324146725678856,0.681,0.154,1.4965502328238e-25,"7","FOSL2"
"NDEL1",5.44016903498357e-30,0.650021175985745,0.406,0.065,1.60767875321835e-25,"7","NDEL1"
"KMT2E2",7.17529163064571e-30,1.04244219758607,0.768,0.215,2.12044218268842e-25,"7","KMT2E"
"HIPK2",8.93926807268508e-30,0.521068920847533,0.319,0.042,2.6417325008399e-25,"7","HIPK2"
"SWAP701",1.17688223843582e-29,0.447344986891999,0.362,0.052,3.47792239102553e-25,"7","SWAP70"
"AREG3",1.63232952474853e-29,2.31052731958885,0.667,0.172,4.82386021153686e-25,"7","AREG"
"TIPARP",1.75813833681266e-29,0.737610972460379,0.594,0.13,5.19565041294877e-25,"7","TIPARP"
"NFKB2",1.89215611556868e-29,0.63844497452033,0.536,0.109,5.59169975272857e-25,"7","NFKB2"
